	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
2-hydroxyacyl-CoA dehydrataseFUNC_PR242	3	1	0	0	0	0	0	0	0	5	0	0
2-hydroxyacyl-CoA lyaseFUNC_PR243	18	4	0	0	1	0	1	0	0	0	0	0
2-hydroxychromene-2-carboxylate isomeraseFUNC_PR244	8	3	0	0	0	13	1	0	0	2	0	0
2-hydroxycyclohexanecarboxyl-CoA dehydrogenaseFUNC_PR245	7	0	0	0	0	15	0	0	0	0	0	0
2-hydroxyglutarate dehydrogenaseFUNC_PR246	0	10	0	0	0	1	0	0	0	0	0	0
2-hydroxyglutaryl-CoA dehydrataseFUNC_PR247	8	11	1	0	4	17	0	0	0	7	0	0
2-hydroxyglutaryl-CoA dehydratase, D-componentFUNC_PR248	0	0	0	0	0	10	0	0	0	0	0	0
2-hydroxyhepta-2,4-diene-1,7-dioate isomeraseFUNC_PR249	15	11	0	1	2	68	0	0	0	6	0	1
2-hydroxyisoflavanone dehydratase-likeFUNC_PR250	3	0	0	1	0	0	0	0	0	0	0	0
2-hydroxymuconate semialdehyde hydrolaseFUNC_PR251	0	1	0	0	0	0	0	0	0	0	0	0
2-hydroxymuconic semialdehyde dehydrogenaseFUNC_PR252	0	0	0	1	0	0	0	0	0	1	0	0
2-hydroxypent-2, 4-dienoate hydrataseFUNC_PR253	0	0	0	0	0	0	2	0	0	0	0	0
2-hydroxypent-2,4-dienoate hydrataseFUNC_PR254	0	0	0	0	0	0	0	1	0	0	0	0
2-iminoacetate synthase ThiHFUNC_PR255	0	0	0	0	0	6	0	0	0	1	0	0
2-iminoacetate synthase ThiH, partialFUNC_PR256	0	0	0	0	1	0	0	0	0	0	0	0
2-isopropylmalate synthaseFUNC_PR257	55	83	1	5	27	213	6	4	3	79	5	15
2-isopropylmalate synthase A-like isoform X1FUNC_PR258	3	0	0	0	0	0	0	0	0	0	0	0
2-isopropylmalate synthase A-like isoform X2FUNC_PR259	1	2	0	0	2	0	0	0	0	0	0	0
2-isopropylmalate synthase LEU4FUNC_PR260	33	3	0	30	77	6	6	17	14	64	44	0
2-isopropylmalate synthase LEU9FUNC_PR261	7	0	0	4	16	4	2	0	1	8	6	0
2-isopropylmalate synthase, partialFUNC_PR262	0	0	0	0	0	3	1	0	0	1	0	0
2-keto-3-deoxy-L-rhamnonate aldolaseFUNC_PR263	0	0	0	0	1	0	0	0	0	0	0	6
2-keto-3-deoxy-L-rhamnonate aldolase-likeFUNC_PR264	0	0	0	0	0	0	0	0	0	0	2	0
2-keto-3-deoxygluconate kinaseFUNC_PR265	0	0	0	0	0	1	0	0	0	0	0	0
2-keto-3-deoxygluconate permeaseFUNC_PR266	0	0	0	0	1	1	0	0	0	2	0	0
2-keto-3-deoxygluconate transporterFUNC_PR267	0	0	0	0	0	0	0	0	0	0	0	1
2-keto-4-pentenoate hydrataseFUNC_PR268	7	0	0	0	2	3	0	0	0	2	2	0
2-keto-4-pentenoate hydratase, partialFUNC_PR269	0	5	0	2	2	3	0	0	0	1	0	0
2-keto-D-gluconate dehydrogenaseFUNC_PR270	0	0	0	0	0	4	0	0	0	0	0	0
2-keto-gluconate dehydrogenaseFUNC_PR271	0	0	0	0	0	0	0	0	0	2	0	0
2-keto-myo-inositol dehydrataseFUNC_PR272	5	1	0	0	0	0	0	0	0	0	0	0
2-ketocyclohexanecarboxyl-CoA hydrolaseFUNC_PR273	0	0	0	0	0	25	0	0	0	0	0	0
2-ketogluconate transporterFUNC_PR274	1	0	0	0	0	0	0	0	0	0	0	0
2-ketoisovalerate ferredoxin oxidoreductase subunit alphaFUNC_PR275	0	0	0	0	0	0	0	0	0	1	0	0
2-ketoisovalerate ferredoxin oxidoreductase subunit betaFUNC_PR276	0	0	0	0	0	0	0	0	0	4	0	0
2-methoxy-6-polyprenyl-1,4-benzoquinol methylaseFUNC_PR277	0	0	0	0	1	0	0	0	0	0	0	0
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial-likeFUNC_PR278	0	0	0	0	0	3	0	0	0	0	0	0
2-methylaconitate cis-trans isomerase PrpFFUNC_PR279	14	9	0	0	0	11	0	0	0	0	2	10
2-methylcitrate dehydrataseFUNC_PR280	4	12	0	1	2	2	1	0	1	8	0	1
2-methylcitrate dehydratase PrpDFUNC_PR281	0	0	0	0	0	0	0	0	0	0	0	3
2-methylcitrate dehydratase-like proteinFUNC_PR282	1	0	0	0	0	0	0	1	1	0	0	0
2-methylcitrate synthaseFUNC_PR283	2	2	1	1	1	6	0	1	0	2	0	0
2-methylcitrate synthase, partialFUNC_PR284	0	2	0	0	0	0	0	0	0	1	0	0
2-methylene-furan-3-one reductase-likeFUNC_PR285	0	0	0	0	0	0	0	0	1	0	0	0
2-methylene-furan-3-one reductase-like isoform X2FUNC_PR286	0	0	1	0	0	0	0	0	0	0	0	0
2-methylisocitrate lyaseFUNC_PR287	0	0	0	0	1	0	0	0	0	1	0	0
2-methylmalate dehydratase large subunitFUNC_PR288	14	0	0	2	6	12	0	0	0	4	0	0
2-methylpropanoate--CoA ligase CCL4-likeFUNC_PR289	0	0	0	0	0	0	0	0	0	0	1	0
2-nitropropane dioxygenaseFUNC_PR290	9	23	1	1	4	44	0	0	1	6	1	0
2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylaseFUNC_PR291	0	0	0	0	1	0	0	0	0	0	1	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylaseFUNC_PR292	2	4	0	1	2	17	4	0	1	9	0	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase, partialFUNC_PR293	0	0	0	0	0	0	1	0	0	1	0	0
2-octaprenyl-6-methoxyphenol hydroxylaseFUNC_PR294	0	0	0	0	0	1	0	0	0	0	0	2
2-octaprenyl-6-methoxyphenyl hydroxylaseFUNC_PR295	4	8	0	1	2	5	2	1	1	19	1	6
2-octaprenylphenol hydroxylaseFUNC_PR296	0	0	0	0	0	14	0	0	0	1	0	0
2-octaprenylphenol hydroxylase, partialFUNC_PR297	0	2	0	0	0	0	0	0	0	0	0	0
2-oxo acid dehydrogenase subunit E2FUNC_PR298	2	4	0	0	2	2	0	0	0	0	0	13
2-oxo-3-hexenedioate decarboxylaseFUNC_PR299	0	0	0	0	0	0	0	0	0	0	1	0
2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylaseFUNC_PR300	0	0	0	0	0	0	0	0	0	1	0	0
2-oxo-hepta-3-ene-1,7-dioate hydrataseFUNC_PR301	0	1	0	0	0	0	0	1	0	0	0	0
2-oxo-hepta-3-ene-1,7-dioic acid hydrataseFUNC_PR302	0	0	0	0	0	3	0	1	1	0	0	4
2-oxoacid ferredoxin oxidoreductaseFUNC_PR303	0	0	0	0	0	2	0	0	0	0	0	2
2-oxoacid ferredoxin oxidoreductase subunit betaFUNC_PR304	0	6	0	0	9	34	0	0	0	4	0	2
2-oxoacid ferredoxin oxidoreductase, partialFUNC_PR305	0	1	0	0	0	0	0	0	0	0	0	0
2-oxoacid:acceptor oxidoreductaseFUNC_PR306	1	0	0	0	0	1	0	0	0	0	0	0
2-oxoacid:acceptor oxidoreductase family proteinFUNC_PR307	0	0	0	0	0	0	0	0	0	0	0	5
2-oxoacid:acceptor oxidoreductase subunit alphaFUNC_PR308	9	8	0	0	11	30	0	0	1	4	0	27
2-oxoacid:ferredoxin oxidoreductase subunit betaFUNC_PR309	2	10	0	0	3	0	0	0	0	3	0	0
2-oxoacid:ferredoxin oxidoreductase subunit gammaFUNC_PR310	0	0	0	0	0	10	0	0	0	0	0	0
2-oxodicarboxylate carrier 2FUNC_PR311	0	0	0	0	0	0	0	0	0	1	1	0
2-oxoglutarate dehydrogenaseFUNC_PR312	2	0	0	0	0	2	0	0	0	0	0	0
2-oxoglutarate dehydrogenase E1 componentFUNC_PR313	34	58	2	20	28	124	10	14	8	141	11	18
2-oxoglutarate dehydrogenase E1 component, partialFUNC_PR314	1	4	0	1	3	1	2	1	2	10	0	0
2-oxoglutarate dehydrogenase E2FUNC_PR315	0	1	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)FUNC_PR316	0	9	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase subunit E1FUNC_PR317	16	31	3	0	3	54	3	3	1	22	1	4
2-oxoglutarate dehydrogenase subunit E1, partialFUNC_PR318	0	0	0	0	3	1	1	0	1	4	0	0
2-oxoglutarate dehydrogenase-like protein E1 componentFUNC_PR319	0	0	0	0	0	0	0	1	0	0	0	0
2-oxoglutarate dehydrogenase-like, mitochondrialFUNC_PR320	0	0	0	0	0	0	0	0	0	1	0	1
2-oxoglutarate dehydrogenase, E1 componentFUNC_PR321	0	1	0	1	0	0	0	1	0	0	0	0
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferaseFUNC_PR322	3	10	1	0	5	37	0	0	0	13	0	1
2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase, partialFUNC_PR323	9	6	1	2	11	44	1	1	0	7	0	0
2-oxoglutarate dehydrogenase, mitochondrialFUNC_PR324	6	0	0	1	0	0	0	0	1	0	0	0
2-oxoglutarate dehydrogenase, mitochondrial-likeFUNC_PR325	3	0	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase, partialFUNC_PR326	0	1	0	0	0	0	0	0	0	0	0	0
2-oxoglutarate ferredoxin oxidoreductase subunit alphaFUNC_PR327	7	2	1	0	0	0	0	0	0	1	0	4
2-oxoglutarate oxidoreductase delta subunitFUNC_PR328	0	0	0	0	0	8	0	0	0	0	0	0
2-oxoglutarate synthaseFUNC_PR329	0	0	0	0	0	0	0	0	0	0	0	10
2-oxoglutarate translocatorFUNC_PR330	1	0	0	0	0	2	0	0	0	2	0	0
2-oxoglutarate-Fe(II) type oxidoreductase hxnY isoform X2FUNC_PR331	2	2	0	1	0	0	0	0	0	0	0	0
2-oxoisovalerate dehydrogenaseFUNC_PR332	0	0	0	0	0	11	0	0	0	0	0	4
2-oxoisovalerate dehydrogenase subunit alpha 1, mitochondrial-likeFUNC_PR333	1	0	0	0	0	0	0	0	0	0	0	0
2-oxoisovalerate dehydrogenase, partialFUNC_PR334	0	0	0	0	0	1	0	0	0	0	0	0
2-oxopent-4-enoate hydrataseFUNC_PR335	0	0	0	0	0	0	0	0	0	0	0	14
2-oxopent-4-enoate hydratase, partialFUNC_PR336	0	0	0	0	0	0	0	0	0	1	0	0
2-phospho-D-glycerate hydro-lyase, putativeFUNC_PR337	1	0	0	0	0	0	0	0	0	0	0	0
2-phospho-L-lactate guanylyltransferaseFUNC_PR338	0	0	1	0	0	0	0	0	1	1	0	0
2-phospho-L-lactate transferaseFUNC_PR339	0	0	0	0	0	7	0	0	0	1	0	0
2-phosphoglycolate phosphataseFUNC_PR340	1	0	0	0	0	0	0	0	0	0	0	0
2-phosphosulfolactate phosphataseFUNC_PR341	0	4	0	0	0	3	0	0	0	0	0	0
2-phosphosulfolactate phosphatase, partialFUNC_PR342	0	0	0	0	0	1	0	0	0	0	0	0
2-polyprenyl-6-hydroxyphenyl methylase/3-demethylubiquinone-9 3-methyltransferaseFUNC_PR343	0	0	0	0	2	0	0	0	0	0	0	0
2-polyprenyl-6-methoxyphenol hydroxylaseFUNC_PR344	2	2	0	0	0	0	0	0	0	2	0	0
2-polyprenyl-6-methoxyphenol hydroxylase, partialFUNC_PR345	0	0	0	0	0	8	0	0	0	0	0	0
2-polyprenylphenol 6-hydroxylaseFUNC_PR346	0	1	0	0	0	8	0	0	0	0	0	2
2-polyprenylphenol hydroxylaseFUNC_PR347	8	2	0	0	4	0	0	0	0	1	0	0
2-pyrone-4,6-dicarboxylate hydrolaseFUNC_PR348	4	14	0	0	1	3	0	0	0	1	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthaseFUNC_PR349	16	9	1	1	25	22	0	0	0	15	0	2
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase, partialFUNC_PR350	0	5	0	0	0	0	0	0	0	1	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthaseFUNC_PR351	26	14	0	3	13	60	0	0	1	20	0	21
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase, partialFUNC_PR352	3	0	0	0	1	15	0	1	0	1	0	0
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthaseFUNC_PR353	4	0	0	0	0	27	0	0	0	0	0	0
2-succinylbenzoate-CoA ligaseFUNC_PR354	0	5	0	0	0	17	0	0	0	0	0	0
2-vinyl bacteriochlorophyllide hydrataseFUNC_PR355	0	0	0	0	1	0	0	0	0	0	0	0
2, 4-dichlorophenol 6-monooxygenaseFUNC_PR356	0	0	0	0	0	0	0	1	0	0	0	0
2,2-dialkylglycine decarboxylaseFUNC_PR357	0	0	0	0	0	7	0	0	0	0	0	0
2,3-bisphosphoglycerate-dependent phosphoglycerate mutaseFUNC_PR358	0	0	0	0	0	1	0	1	0	0	0	0
2,3-bisphosphoglycerate-independent phosphoglycerate mutaseFUNC_PR359	22	15	0	1	9	19	2	1	0	2	0	3
2,3-bisphosphoglycerate-independent phosphoglycerate mutase-likeFUNC_PR360	6	0	0	0	1	0	1	0	0	0	0	0
2,3-butanediol dehydrogenaseFUNC_PR361	6	5	0	0	0	20	0	0	0	2	0	0
2,3-dehydroadipyl-CoA hydrataseFUNC_PR362	6	0	0	0	0	0	0	0	0	0	0	5
2,3-diaminopropionate biosynthesis protein SbnAFUNC_PR363	6	13	0	0	4	2	0	0	0	5	0	5
2,3-diaminopropionate biosynthesis protein SbnBFUNC_PR364	7	6	0	0	3	23	0	0	0	4	0	0
2,3-diaminopropionate biosynthesis protein SbnB, partialFUNC_PR365	1	0	0	0	0	0	0	0	0	0	0	0
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenaseFUNC_PR366	3	0	0	0	0	0	0	0	0	0	0	0
2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenaseFUNC_PR367	0	0	0	0	0	1	0	0	0	0	0	0
2,3-dihydroxybenzoate-AMP ligaseFUNC_PR368	2	0	0	1	1	22	0	0	0	1	0	10
2,3-dihydroxybiphenyl 1,2-dioxygenaseFUNC_PR369	0	0	0	0	0	0	0	0	0	0	0	3
2,3-diketo-5-methylthio-1-phosphopentane phosphataseFUNC_PR370	0	0	0	0	0	0	0	0	1	1	0	0
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferaseFUNC_PR371	0	2	0	0	2	0	0	0	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase, partialFUNC_PR372	0	0	0	0	0	0	0	0	0	1	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferaseFUNC_PR373	0	0	0	0	0	3	0	0	0	1	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferaseFUNC_PR374	30	12	0	1	11	46	0	0	1	19	0	15
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase, partialFUNC_PR375	0	0	0	1	0	0	0	0	0	0	0	0
2,4-diaminobutyrate 4-aminotransferase, partialFUNC_PR376	0	9	0	0	0	0	0	0	0	0	0	0
2,4-dichlorophenol 6-monooxygenaseFUNC_PR377	8	0	0	0	0	2	0	0	0	2	0	0
2,4-dienoyl-CoA reductaseFUNC_PR378	1	13	0	0	1	2	0	0	0	3	0	2
2,4-dienoyl-CoA reductase (NADPH)FUNC_PR379	3	1	0	34	36	2	4	9	20	60	35	4
2,4-dienoyl-CoA reductase, partialFUNC_PR380	0	1	0	0	0	2	0	0	0	0	0	2
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolaseFUNC_PR381	1	7	0	0	0	1	0	0	0	2	0	0
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase, partialFUNC_PR382	0	0	0	0	0	0	0	0	0	0	1	0
2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductaseFUNC_PR383	1	0	0	4	3	4	0	3	6	19	5	0
2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenaseFUNC_PR384	0	3	0	0	0	4	0	0	0	0	0	0
2,5-didehydrogluconate reductase AFUNC_PR385	3	0	0	0	0	0	0	0	0	0	0	0
2,5-didehydrogluconate reductase BFUNC_PR386	1	5	0	0	3	0	0	0	0	0	0	0
2,5-diketo-D-gluconic acid reductaseFUNC_PR387	3	5	0	0	7	3	0	0	0	0	0	0
2,5-diketo-D-gluconic acid reductase A, partialFUNC_PR388	0	0	0	0	0	0	0	0	1	0	0	0
2,6-beta-D-fructofuranosidaseFUNC_PR389	0	1	0	0	0	0	0	0	0	0	0	0
2'-5' RNA ligaseFUNC_PR390	1	0	0	0	3	8	0	0	0	2	3	0
2'-5' RNA ligase family proteinFUNC_PR391	0	0	0	0	0	2	0	0	0	0	0	0
2'-deoxycytidine 5'-triphosphate deaminaseFUNC_PR392	0	0	0	0	2	0	0	0	0	1	0	0
2'-O-ribose tRNA anticodon loop methyltransferase, putativeFUNC_PR393	1	0	0	0	0	0	0	0	0	0	0	0
2'-phosphotransferaseFUNC_PR394	0	0	0	0	0	0	0	0	0	2	0	0
2',3'-cyclic-nucleotide 2'-phosphodiesteraseFUNC_PR395	9	3	1	0	3	26	0	0	0	19	3	12
2',3'-cyclic-nucleotide 2'-phosphodiesterase, partialFUNC_PR396	0	0	0	0	0	0	0	0	0	1	0	1
2',3'-cyclic-nucleotide 3'-phosphodiesteraseFUNC_PR397	0	0	0	0	5	0	1	1	1	9	8	0
20S proteasomeFUNC_PR398	0	0	0	0	0	0	0	0	0	0	0	6
20S proteasome subunit A/BFUNC_PR399	0	5	0	0	0	0	0	0	0	0	0	0
20S proteasome subunit alpha 1FUNC_PR400	0	0	0	0	0	1	0	0	0	0	0	0
20S proteasome subunit alpha 2FUNC_PR401	0	0	0	0	1	0	0	0	0	0	0	0
20S proteasome subunit alpha 3FUNC_PR402	1	4	0	0	0	2	1	0	0	1	0	0
20S proteasome subunit alpha 7FUNC_PR403	0	0	0	0	0	0	0	0	1	2	0	0
20S proteasome subunit beta 1FUNC_PR404	0	0	0	0	0	10	0	0	0	0	0	0
20S proteasome subunit beta 7FUNC_PR405	0	0	0	0	0	0	0	0	0	4	0	0
20S proteasome subunit Y7FUNC_PR406	1	0	0	1	0	1	0	1	0	0	0	0
20S proteasome subunits A/BFUNC_PR407	0	0	0	0	0	2	0	0	0	0	0	0
20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2FUNC_PR408	0	0	0	1	0	0	0	0	2	0	0	0
21 kDa protein-likeFUNC_PR409	102	44	0	10	14	0	1	10	3	15	5	0
21S rRNA (uridine2791-2'-O) methyltransferaseFUNC_PR410	0	0	0	11	9	0	0	1	8	35	7	0
22.0 kDa class IV heat shock proteinFUNC_PR411	2	0	0	0	0	0	1	0	0	0	0	0
22.0 kDa class IV heat shock protein-likeFUNC_PR412	3	1	0	0	0	0	0	0	1	2	0	0
23 kDa subunit of NADH-ubiquinone oxidoreductase, partialFUNC_PR413	0	0	0	0	0	1	0	1	0	0	0	1
23.6 kDa heat shock protein, mitochondrial-likeFUNC_PR414	0	0	0	0	0	0	0	2	0	0	0	0
23S ribosomal RNA methyltransferase ErmFUNC_PR415	0	0	0	0	1	0	0	0	0	1	0	0
23S ribosomal RNA methyltransferase Erm, partialFUNC_PR416	3	0	0	0	2	1	0	0	0	0	0	0
23S rRNA (adenine(1618)-N(6))-methyltransferaseFUNC_PR417	0	2	0	1	0	12	0	0	0	1	0	0
23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJFUNC_PR418	5	2	0	1	1	17	0	0	0	4	0	0
23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ, partialFUNC_PR419	0	0	0	0	0	1	0	0	0	0	0	0
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), partialFUNC_PR420	0	0	0	0	0	2	0	0	0	0	0	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmNFUNC_PR421	19	11	0	2	8	131	1	0	0	23	2	0
23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN, partialFUNC_PR422	1	0	0	0	1	15	0	0	0	3	0	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmMFUNC_PR423	0	3	0	0	1	15	0	0	0	5	0	0
23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM, partialFUNC_PR424	1	0	0	1	0	0	0	1	0	1	0	0
23S rRNA (guanine-N-2-) -methyltransferase rlmLFUNC_PR425	0	0	0	0	1	0	0	0	0	0	0	0
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferaseFUNC_PR426	7	2	0	1	2	6	4	2	3	28	0	0
23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))-methyltransferase, partialFUNC_PR427	0	0	0	0	0	1	0	0	0	1	0	0
23S rRNA (guanine(745)-N(1))-methyltransferaseFUNC_PR428	0	0	0	0	2	2	0	0	0	0	0	1
23S rRNA (guanosine(2251)-2'-O)-methyltransferaseFUNC_PR429	0	0	0	0	0	0	0	0	0	1	0	0
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmBFUNC_PR430	30	9	0	1	9	97	0	1	0	18	3	14
23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB, partialFUNC_PR431	11	12	0	0	12	14	1	0	0	8	0	4
23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmHFUNC_PR432	6	3	0	1	1	32	0	0	1	9	0	6
23S rRNA (uracil(1939)-C(5))-methyltransferaseFUNC_PR433	3	20	0	3	7	36	1	0	1	14	0	5
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmDFUNC_PR434	8	5	0	0	2	55	1	1	0	4	1	0
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD, partialFUNC_PR435	0	0	0	0	2	5	0	0	0	2	0	0
23S rRNA (uracil(1939)-C(5))-methyltransferase, partialFUNC_PR436	0	0	0	0	0	0	0	0	0	1	0	0
23S rRNA (uracil(747)-C(5))-methyltransferaseFUNC_PR437	0	1	0	0	0	4	0	1	0	9	0	0
23S rRNA (uridine(2552)-2'-O)-methyltransferaseFUNC_PR438	5	1	0	0	0	15	1	0	1	2	0	0
23S rRNA methyltransferaseFUNC_PR439	5	2	0	0	0	12	0	0	0	1	0	1
23S rRNA pseudouridine synthase FFUNC_PR440	0	0	0	0	0	2	0	0	0	0	0	0
23S rRNA pseudouridine(1911/1915/1917) synthaseFUNC_PR441	3	14	0	1	5	3	1	0	1	14	0	0
23S rRNA pseudouridine(2457) synthaseFUNC_PR442	0	0	1	0	0	0	0	0	0	0	0	0
23S rRNA pseudouridine(955/2504/2580) synthaseFUNC_PR443	0	2	0	1	0	0	0	0	0	5	1	0
23S rRNA pseudouridine(955/2504/2580) synthase, partialFUNC_PR444	0	0	0	0	0	0	0	0	0	2	0	0
23S rRNA pseudouridylate synthaseFUNC_PR445	1	3	0	0	0	4	0	0	0	0	0	0
23S rRNA pseudouridylate synthase BFUNC_PR446	1	1	1	1	1	27	2	0	0	11	1	0
23S rRNA pseudouridylate synthase B, partialFUNC_PR447	0	0	0	0	0	0	1	1	0	3	0	0
24-methylenesterol C-methyltransferase 2FUNC_PR448	2	2	0	0	1	0	0	0	0	0	0	0
25.3 kDa vesicle transport proteinFUNC_PR449	0	0	0	1	0	0	0	0	0	1	0	0
25S rRNA (adenine-N(1))-methyltransferase-likeFUNC_PR450	0	0	0	0	0	0	1	0	0	0	0	0
25S rRNA (adenine2142-N1)-methyltransferaseFUNC_PR451	3	4	0	6	11	0	7	6	4	16	11	0
25S rRNA (adenine645-N1)-methyltransferaseFUNC_PR452	4	0	0	2	3	0	8	12	1	7	6	0
25S rRNA (cytosine-C(5))-methyltransferase NSUN5 isoform X2FUNC_PR453	0	0	0	0	0	0	0	0	0	1	0	0
25S rRNA (cytosine(2870)-C(5))-methyltransferase-likeFUNC_PR454	0	0	0	0	0	0	1	0	0	0	0	0
25S rRNA (cytosine2278-C5)-methyltransferaseFUNC_PR455	0	0	0	0	0	6	0	0	0	0	0	0
25S rRNA (uracil2634-N3)-methyltransferaseFUNC_PR456	1	0	0	0	2	0	2	1	0	4	0	0
25S rRNA (uracil2843-N3)-methyltransferaseFUNC_PR457	3	0	0	2	6	0	2	0	2	7	3	0
26S protease regulatory subunitFUNC_PR458	0	0	0	1	2	0	0	1	2	3	1	0
26S protease regulatory subunit 10BFUNC_PR459	0	0	0	0	0	0	0	0	0	0	1	0
26S protease regulatory subunit 4FUNC_PR460	1	0	0	0	0	0	0	1	1	2	1	0
26s protease regulatory subunit 6aFUNC_PR461	1	0	0	0	0	0	0	0	0	1	0	0
26S protease regulatory subunit 6AFUNC_PR462	2	0	0	1	11	0	1	2	1	7	2	0
26S protease regulatory subunit 6BFUNC_PR463	0	0	0	3	0	0	1	1	0	2	2	0
26S protease regulatory subunit 7FUNC_PR464	1	4	1	0	0	0	0	0	0	1	0	0
26S protease regulatory subunit 7, variantFUNC_PR465	0	0	0	1	0	0	0	0	0	0	0	0
26S protease regulatory subunit 8FUNC_PR466	0	3	0	1	1	0	0	0	1	2	0	0
26S protease regulatory subunit 8, putative, partialFUNC_PR467	0	0	0	0	0	0	1	0	0	0	0	0
26S protease subunitFUNC_PR468	0	0	0	0	1	0	0	0	0	0	0	0
26S protease subunit rpt4FUNC_PR469	0	0	0	0	0	0	2	1	0	0	0	0
26S protease subunit RPT4FUNC_PR470	0	0	0	0	0	0	0	0	1	0	0	0
26S protease-like protein regulatory subunit 6BFUNC_PR471	0	0	0	0	0	0	0	0	0	1	0	0
26S proteasome ATPase subunitFUNC_PR472	0	0	0	1	0	0	0	0	0	0	0	0
26s proteasome non-ATPAse regulatory subunitFUNC_PR473	0	0	0	0	0	1	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 1 homolog AFUNC_PR474	7	1	0	0	0	0	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 1 homolog A-likeFUNC_PR475	3	0	0	0	0	0	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 1-likeFUNC_PR476	0	0	0	0	0	0	1	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 10FUNC_PR477	0	0	0	0	0	11	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 10-like isoform X2FUNC_PR478	5	0	0	0	0	0	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 11FUNC_PR479	0	0	0	0	0	0	1	0	0	0	1	0
26S proteasome non-ATPase regulatory subunit 12 homolog AFUNC_PR480	1	1	0	0	0	0	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 13 homolog AFUNC_PR481	3	0	0	0	0	0	0	1	0	0	0	0
26S proteasome non-ATPase regulatory subunit 13 homolog B-likeFUNC_PR482	1	0	0	0	0	0	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 14 homologFUNC_PR483	1	0	0	0	1	0	0	0	0	0	2	0
26S proteasome non-ATPase regulatory subunit 14 homolog, partialFUNC_PR484	4	0	0	0	0	0	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 4FUNC_PR485	0	0	0	0	1	0	0	0	0	0	0	0
26S proteasome non-ATPase regulatory subunit 4 homologFUNC_PR486	4	0	0	0	0	0	0	1	0	0	0	0
26S proteasome non-ATPase regulatory subunit 6FUNC_PR487	1	0	0	0	0	0	2	0	0	0	0	0
