	control.B01	control.B02	control.B03	control.B04	control.B05	control.B06	experimental.B07	experimental.B08	experimental.B09	experimental.B10	experimental.B11	experimental.B12
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinaseFUNC_PR197	0	0	0	0	1	3	0	0	0	3	0	0
2-aminoadipate aminotransferaseFUNC_PR198	0	0	0	1	0	2	0	0	0	0	0	0
2-aminoadipate transaminaseFUNC_PR199	8	5	0	49	67	10	6	33	19	94	32	0
2-aminobenzoate-CoA ligaseFUNC_PR200	7	2	0	0	0	3	0	0	0	0	0	2
2-aminoethylphosphonate ABC transporter permease subunitFUNC_PR201	1	0	0	0	0	0	0	0	0	0	0	0
2-aminoethylphosphonate aminotransferaseFUNC_PR202	3	0	0	0	0	0	0	0	0	0	1	0
2-aminoethylphosphonate--pyruvate transaminaseFUNC_PR203	0	0	0	0	0	0	1	0	0	0	0	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthaseFUNC_PR204	11	4	0	1	6	37	1	2	0	7	0	25
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, chloroplasticFUNC_PR205	3	0	0	0	0	0	0	0	0	0	0	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, partialFUNC_PR206	0	0	0	0	0	1	0	0	0	0	0	0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferaseFUNC_PR207	13	22	0	2	15	46	0	0	0	24	1	2
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, partialFUNC_PR208	0	4	0	0	0	4	0	0	0	1	0	0
2-Cys peroxiredoxin BAS1, chloroplastic-likeFUNC_PR209	8	0	0	0	0	0	0	0	0	0	0	0
2-dehydro-3-deoxy-6-phosphogalactonate aldolaseFUNC_PR210	3	2	0	0	0	0	0	0	0	0	0	23
2-dehydro-3-deoxy-D-gluconate 5-dehydrogenaseFUNC_PR211	0	7	0	0	0	0	0	0	0	0	0	0
2-dehydro-3-deoxy-phosphogluconate aldolaseFUNC_PR212	0	0	0	0	0	2	0	0	0	1	0	0
2-dehydro-3-deoxygalactonokinaseFUNC_PR213	2	8	0	0	0	0	0	1	0	0	0	0
2-dehydro-3-deoxyglucarate aldolaseFUNC_PR214	0	0	0	0	0	0	0	0	0	0	1	0
2-dehydro-3-deoxygluconokinaseFUNC_PR215	0	0	0	0	0	3	0	0	0	0	0	1
2-dehydro-3-deoxyphosphogluconate aldolaseFUNC_PR216	0	0	0	0	0	2	0	0	0	1	0	0
2-dehydro-3-deoxyphosphooctonate aldolaseFUNC_PR217	4	0	0	0	0	1	0	0	0	0	0	1
2-dehydro-3-deoxyphosphooctonate aldolase, partialFUNC_PR218	0	0	0	0	0	0	0	0	0	2	0	0
2-dehydropantoate 2-reductaseFUNC_PR219	19	4	2	4	15	41	2	1	1	9	1	0
2-dehydropantoate 2-reductase PAN5FUNC_PR220	0	0	0	1	1	0	0	3	2	2	1	0
2-dehydropantoate 2-reductase, partialFUNC_PR221	0	0	0	0	0	6	0	0	0	0	0	0
2-deoxy-D-gluconate 3-dehydrogenaseFUNC_PR222	2	0	0	0	1	7	0	0	0	3	0	12
2-deoxy-D-gluconate 3-dehydrogenase, partialFUNC_PR223	0	5	0	0	0	0	0	0	0	0	0	0
2-deoxyglucose-6-phosphataseFUNC_PR224	3	3	0	7	10	0	1	4	7	25	16	0
2-deoxyribose-5-phosphate aldolaseFUNC_PR225	17	8	0	2	11	50	0	0	0	12	0	0
2-enoate reductaseFUNC_PR226	38	25	0	1	19	45	0	0	0	37	5	3
2-epi-5-epi-valiolone synthaseFUNC_PR227	0	1	0	0	0	0	0	0	0	0	0	0
2-Hacid_dh_C-domain-containing proteinFUNC_PR228	0	0	0	0	0	1	0	0	0	0	0	0
2-haloacrylate reductase-likeFUNC_PR229	2	2	0	0	1	0	0	0	0	2	0	0
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferaseFUNC_PR230	3	0	0	10	20	0	5	4	1	17	12	0
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphataseFUNC_PR231	0	1	0	0	0	3	0	0	0	0	0	0
2-hydroxy-3-oxopropionate reductaseFUNC_PR232	14	0	0	1	0	0	1	0	0	4	0	0
2-hydroxy-3-oxopropionate reductase, partialFUNC_PR233	0	0	0	0	0	0	0	1	0	0	0	0
2-hydroxy-6-oxo-2,4-heptadienoate hydrolaseFUNC_PR234	0	0	0	0	0	0	0	0	0	0	0	1
2-hydroxy-6-oxo-2,4-heptadienoate hydrolase, partialFUNC_PR235	0	0	0	0	0	0	0	1	0	0	0	0
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolaseFUNC_PR236	3	0	0	0	0	0	0	0	0	0	0	0
2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolaseFUNC_PR237	2	0	0	0	0	0	0	0	0	0	0	0
2-hydroxy-acid oxidaseFUNC_PR238	4	8	0	0	2	35	0	0	0	2	1	3
2-hydroxy-palmitic acid dioxygenase mpo1FUNC_PR239	0	0	0	0	0	0	0	0	0	2	0	0
2-hydroxyacid dehydrogenaseFUNC_PR240	8	12	0	0	2	15	1	0	0	6	1	23
2-hydroxyacid dehydrogenase, partialFUNC_PR241	2	0	0	0	0	0	0	0	0	0	0	0
